"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.740789625E0,1.266390843E0,4.330108774E0,-5.298515275E0,6.959012277E0
1.750841625E0,5.728926480E-2,4.247522115E0,-3.327210717E0,5.395837037E0
1.760893625E0,-1.255278794E0,3.518103597E0,-2.373330600E0,4.425548092E0
1.770945625E0,-1.834211324E0,2.157912598E0,-1.430579197E0,3.172928426E0
1.780998625E0,-1.601004191E0,5.958985180E-1,-7.389255059E-1,1.861268483E0
1.791050625E0,-1.641829158E0,1.712380493E-1,4.258585632E-2,1.651284049E0
1.801102625E0,-1.646046462E0,-3.369867325E-2,9.756452076E-1,1.913762819E0
1.811154625E0,-1.435150258E0,-1.748112828E-1,1.510014791E0,2.090540580E0
1.821206625E0,-1.068390965E0,1.298362541E-1,1.439848642E0,1.797632003E0
1.831258625E0,-9.070750558E-1,1.513662869E-1,9.599689686E-1,1.329374789E0
1.841310625E0,1.038430417E-1,1.612556827E-1,1.354544343E0,1.368055975E0
1.851362625E0,1.361677362E0,1.423510498E-1,1.216365136E0,1.831385596E0
1.861414625E0,1.445836629E0,-3.880785334E-1,5.258857119E-1,1.586696029E0
1.871466625E0,9.487016764E-1,-1.153751543E0,8.301993728E-2,1.496017982E0
1.881518625E0,6.589525527E-1,-1.390540388E0,7.157167375E-2,1.540436153E0
1.891570625E0,7.306341541E-1,-1.253332549E0,9.261302546E-2,1.453700766E0
1.901622625E0,7.930490881E-1,-7.900582373E-1,-1.405492303E-1,1.128216717E0
1.911675625E0,7.505857310E-1,-2.623218817E-1,-3.456197079E-1,8.669744469E-1
1.921727625E0,7.113631931E-1,3.620478988E-2,-5.151312205E-1,8.790384256E-1
1.931779625E0,4.942092982E-1,1.658305442E-1,-6.399281980E-1,8.253791241E-1
1.941831625E0,1.734009343E-1,1.738921005E-1,-6.250147283E-1,6.715279274E-1
1.951883625E0,-6.185360134E-2,1.650294757E-1,-3.934569485E-1,4.311252326E-1
1.961935625E0,-3.439577830E-1,1.563978159E-1,-4.924188808E-2,3.810406761E-1
1.971987625E0,-5.756785539E-1,1.853263307E-1,2.551670824E-1,6.564007055E-1
1.982039625E0,-7.490271556E-1,2.275022972E-1,4.136991321E-1,8.854072210E-1
1.992091625E0,-8.969967949E-1,3.082558537E-1,3.712164791E-1,1.018541406E0
2.002143625E0,-1.002457469E0,3.903811669E-1,1.461568563E-1,1.085670419E0
2.012195625E0,-1.050381541E0,5.037031299E-1,-8.048049152E-2,1.167688029E0
2.022248625E0,-1.072051614E0,5.763062525E-1,-2.436183929E-1,1.241278970E0
2.032300625E0,-1.052353222E0,6.467786497E-1,-3.734553780E-1,1.290441337E0
2.042352625E0,-9.947107852E-1,6.921583056E-1,-4.030457975E-1,1.277097718E0
2.052404625E0,-8.945254692E-1,6.698821682E-1,-2.978823084E-1,1.156568979E0
2.062456625E0,-8.158254549E-1,5.978029561E-1,-2.061663920E-1,1.032203530E0
2.072508625E0,-6.825434366E-1,4.965350282E-1,-1.052886195E-1,8.505870152E-1
2.082560625E0,-5.378520387E-1,3.720577472E-1,1.293623373E-2,6.541247045E-1
2.092612625E0,-3.647285548E-1,2.872970939E-1,1.034128328E-1,4.756687427E-1
2.102664625E0,-1.857376823E-1,1.757281262E-1,1.611989647E-1,3.022647303E-1
2.112716625E0,-4.347492546E-2,5.832129836E-2,1.424576153E-1,1.599550410E-1
2.122768625E0,9.636182159E-2,-6.154545307E-2,6.733580455E-2,1.326934589E-1
2.132820625E0,2.239050901E-1,-1.605002224E-1,-3.648852602E-2,2.778942664E-1
2.142872625E0,3.648042762E-1,-2.280858493E-1,-1.179570508E-1,4.461156581E-1
2.152925625E0,4.900650841E-1,-2.791601086E-1,-1.809888661E-1,5.923268713E-1
2.162977625E0,5.648603278E-1,-3.060105228E-1,-2.113078487E-1,6.762844350E-1
2.173029625E0,5.838664100E-1,-3.370662546E-1,-2.240407455E-1,7.104279698E-1
2.183081625E0,5.413957438E-1,-3.284147143E-1,-1.629314947E-1,6.538442077E-1
2.193133625E0,4.842707857E-1,-2.799541605E-1,-8.148621261E-2,5.652720838E-1
2.203185625E0,4.313841820E-1,-2.097793865E-1,2.362143561E-2,4.802683372E-1
2.213237625E0,3.895710352E-1,-1.479561907E-1,1.344187170E-1,4.378641540E-1
2.223289625E0,3.440647870E-1,-1.193878645E-1,2.355860728E-1,4.337451297E-1
2.233341625E0,3.370881817E-1,-1.040395081E-1,2.929671389E-1,4.585655961E-1
2.243393625E0,3.137060434E-1,-4.484346628E-2,3.390076764E-1,4.640567021E-1
2.253445625E0,3.016794902E-1,4.297703505E-3,3.479011452E-1,4.605042800E-1
2.263497625E0,2.551265904E-1,8.628736138E-3,3.085410516E-1,4.004517608E-1
2.273550625E0,1.745461115E-1,-2.207791686E-2,2.551713216E-1,3.099454514E-1
2.283602625E0,1.200585401E-1,-3.269938409E-2,1.806503123E-1,2.193577856E-1
2.293654625E0,7.874913096E-2,-4.828806102E-2,1.223956722E-1,1.533423067E-1
2.303706625E0,9.440358907E-2,-5.524040043E-2,5.918960989E-2,1.243661907E-1
2.313758625E0,9.781924009E-2,-5.995267153E-2,8.243258446E-3,1.150255531E-1
2.323810625E0,1.023394302E-1,-6.504325747E-2,-2.192018822E-2,1.232253178E-1
2.333863042E0,1.335983527E-1,-4.353368998E-2,-2.482026100E-2,1.426875865E-1
2.343915042E0,1.737909436E-1,-1.242299438E-2,-8.644085079E-3,1.744486832E-1
2.353967042E0,2.222810259E-1,-3.327065706E-3,2.903975800E-2,2.241946284E-1
2.364019042E0,1.918901226E-1,-3.250876486E-2,4.306372002E-2,1.993316907E-1
