"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.294889708E0,-3.338303470E0,-7.902326013E0,7.839783025E-1,8.614270047E0
1.304942708E0,-4.874244230E0,-6.687412010E0,-5.933169266E-2,8.275461102E0
1.314995708E0,-7.308519044E0,-4.928547907E0,-8.015252119E-1,8.851411060E0
1.325048708E0,-9.376603206E0,-3.225712994E0,-1.027627101E0,9.969048574E0
1.335102708E0,-9.049129894E0,-1.350492808E0,-5.493781799E-1,9.165827788E0
1.345155708E0,-6.395787392E0,-8.595348537E-2,2.045408660E-1,6.399634468E0
1.355208708E0,-3.456192108E0,1.227863832E0,7.380501777E-1,3.741340875E0
1.365261708E0,-2.058715754E0,7.223819786E-1,1.128511451E0,2.456355913E0
1.375314708E0,-7.063313717E-1,2.414432287E-1,6.408945966E-1,9.838418182E-1
1.385367708E0,7.307215700E-1,1.049098077E0,-1.494045460E-1,1.287199482E0
1.395420708E0,1.526135272E0,2.431550596E0,-6.150826478E-1,2.935958759E0
1.405473708E0,1.289130957E0,4.652526584E0,-3.459913715E-1,4.840203742E0
1.415527708E0,1.710463775E0,5.836842107E0,-1.063047194E-1,6.083232102E0
1.425580708E0,2.367713034E0,6.296532660E0,-6.432404995E-2,6.727297090E0
1.435633708E0,2.779920103E0,6.654500957E0,1.159934096E-1,7.212752126E0
1.445686708E0,2.646382854E0,6.796932698E0,1.529467893E-1,7.295548576E0
1.455739708E0,2.093966570E0,6.482333200E0,3.853315115E-2,6.812255465E0
1.465792708E0,1.633022082E0,6.198797035E0,-2.074089253E-1,6.413646721E0
1.475845708E0,1.178065581E0,5.794995924E0,-2.556031385E-1,5.919049690E0
1.485898708E0,-9.656197178E-1,6.735056877E-1,-2.288620672E-1,1.199336982E0
1.495952708E0,-1.739925849E0,-7.601611313E0,-5.032730672E-1,7.814417464E0
1.506005708E0,-9.386086513E-1,-1.261625772E1,1.908042946E-1,1.265256303E1
1.516058708E0,4.144189608E-1,-1.701585129E1,7.340059510E-1,1.703671632E1
1.526111708E0,1.595482080E0,-1.938938348E1,-7.166183782E-1,1.946810973E1
1.536164708E0,1.628624976E0,-1.854465494E1,-2.504369481E0,1.878373000E1
1.546217708E0,1.732308681E0,-1.501564980E1,-3.172480527E0,1.544458691E1
1.556270708E0,1.955809728E0,-9.969669918E0,-2.837226909E0,1.054842957E1
1.566323708E0,1.677044599E0,-5.285197656E0,-2.193223933E0,5.962887226E0
1.576377708E0,1.347769905E0,-1.519985463E0,-1.679046832E0,2.635533682E0
1.586430708E0,1.434381934E0,1.492593597E0,-1.716715765E0,2.689312215E0
1.596483708E0,2.179985544E0,4.146494508E0,-1.557559086E0,4.936774654E0
1.606536708E0,2.894605637E0,6.162516816E0,-9.664487068E-1,6.876727303E0
1.616589708E0,2.602067976E0,6.335682108E0,-3.164573045E-1,6.856513017E0
1.626642708E0,1.826405583E0,5.346957702E0,2.863849282E-1,5.657537481E0
1.636695708E0,7.648478208E-1,3.660162286E0,7.877485871E-1,3.821299254E0
1.646748708E0,-2.426163264E-1,1.728858531E0,1.036921543E0,2.030522294E0
1.656802708E0,-8.816544320E-1,8.013492107E-2,1.195299518E0,1.487439774E0
1.666855708E0,-1.275157135E0,-1.158996495E0,1.300865296E0,2.159062091E0
1.676908708E0,-1.561009967E0,-1.859488837E0,1.284404507E0,2.746660843E0
1.686961708E0,-1.652719305E0,-2.036661226E0,1.169768382E0,2.871903222E0
1.697014708E0,-1.573663195E0,-1.716530846E0,9.442167158E-1,2.512854792E0
1.707067708E0,-1.505892796E0,-1.020588807E0,6.884231043E-1,1.945055526E0
1.717120708E0,-1.550209136E0,-2.489732730E-1,4.318028426E-1,1.628370275E0
1.727173708E0,-1.659538328E0,3.656269795E-1,1.982017533E-1,1.710857821E0
1.737227708E0,-1.725849262E0,8.345274818E-1,-2.666900441E-2,1.917212306E0
1.747280708E0,-1.773289038E0,1.122979401E0,-3.577431786E-1,2.129229186E0
1.757333708E0,-1.762317469E0,1.052100037E0,-6.765741603E-1,2.161117753E0
1.767386708E0,-1.503755347E0,7.770721561E-1,-7.794759464E-1,1.863519259E0
1.777439708E0,-1.109598779E0,5.172312480E-1,-6.650972454E-1,1.393230763E0
1.787492708E0,-8.484241207E-1,2.479494256E-1,-5.365650666E-1,1.034023441E0
1.797545708E0,-6.563552195E-1,-3.859162331E-5,-5.009813972E-1,8.257024500E-1
1.807598708E0,-3.790289439E-1,-2.059032673E-1,-5.424730933E-1,6.930628779E-1
1.817652708E0,-1.174492201E-1,-2.149459863E-1,-6.276483142E-1,6.737495846E-1
1.827705708E0,1.081438150E-1,-2.191361010E-2,-7.662530529E-1,7.741569816E-1
1.837758708E0,3.476476684E-1,1.196112281E-1,-8.536829603E-1,9.294839127E-1
1.847811708E0,6.286999360E-1,1.136821514E-1,-8.390697451E-1,1.054620917E0
1.857864708E0,7.931588696E-1,1.088003111E-1,-7.696442918E-1,1.110536283E0
1.867917708E0,8.293946497E-1,-6.607938409E-3,-6.265889449E-1,1.039496443E0
1.877970708E0,8.690396489E-1,-1.164578247E-1,-4.395328617E-1,9.808065420E-1
1.888023708E0,8.545664746E-1,-1.842282236E-1,-2.712733841E-1,9.153213352E-1
1.898077708E0,8.132249057E-1,-2.356135547E-1,-1.693811198E-1,8.634456892E-1
1.908130708E0,7.943923397E-1,-2.725217646E-1,-9.775842905E-2,8.455081384E-1
1.918183708E0,7.117513020E-1,-2.944318664E-1,-1.878125668E-3,7.702490294E-1
1.928236708E0,5.774606390E-1,-3.166208804E-1,8.523047715E-2,6.640585861E-1
1.938289708E0,4.075078078E-1,-2.844699651E-1,2.115521161E-1,5.401296810E-1
1.948342708E0,2.249352233E-1,-2.315626037E-1,3.391585346E-1,4.682366984E-1
1.958395708E0,4.715501681E-2,-2.003957748E-1,4.005110295E-1,4.503233804E-1
1.968448708E0,-9.651911169E-2,-1.783944565E-1,4.429968984E-1,4.872235350E-1
1.978501708E0,-1.961239453E-1,-1.408915848E-1,4.745449658E-1,5.324546601E-1
1.988555708E0,-2.353707491E-1,-1.189171636E-1,4.361005461E-1,5.096315999E-1
1.998608708E0,-2.086837645E-1,-1.423101193E-1,4.110265160E-1,4.824353640E-1
2.008661708E0,-1.184281902E-1,-1.886785394E-1,3.377911632E-1,4.046327933E-1
2.018714708E0,2.728880927E-2,-2.313684762E-1,2.701283531E-1,3.567147011E-1
2.028767708E0,2.820037557E-1,-2.437370914E-1,2.012987311E-1,4.236213724E-1
2.038820708E0,5.312873697E-1,-2.129438996E-1,1.291157310E-1,5.867556950E-1
2.048873708E0,7.656271085E-1,-1.770419955E-1,3.730041191E-2,7.867147248E-1
2.058926708E0,9.493640198E-1,-1.738476616E-1,-2.019394398E-2,9.653615110E-1
2.068980708E0,1.070411909E0,-1.955075026E-1,-7.995468065E-2,1.091053431E0
2.079033708E0,1.180532083E0,-2.211194766E-1,-1.153081159E-1,1.206584345E0
2.089086708E0,1.254912320E0,-2.318865395E-1,-1.392302446E-1,1.283729473E0
2.099139708E0,1.300005755E0,-2.075328863E-1,-1.380072995E-1,1.323680806E0
2.109192708E0,1.314045651E0,-1.731419027E-1,-1.632870054E-1,1.335423804E0
2.119245708E0,1.263615170E0,-1.297292501E-1,-1.623643148E-1,1.280591717E0
2.129298708E0,1.171874110E0,-6.136828244E-2,-1.916471708E-1,1.189026339E0
2.139351708E0,1.011194378E0,-1.108924448E-2,-2.416899812E-1,1.039736067E0
2.149405708E0,7.877844013E-1,-1.101264596E-2,-2.836401721E-1,8.373632955E-1
2.159458708E0,5.734288377E-1,-6.040173769E-3,-2.993810959E-1,6.469050596E-1
2.169511708E0,3.647314784E-1,-1.790183544E-2,-3.043709636E-1,4.753853285E-1
2.179564708E0,1.872651212E-1,-6.578819275E-2,-3.010099840E-1,3.605597349E-1
2.189617708E0,1.430579782E-2,-1.551546979E-1,-2.746647692E-1,3.157821584E-1
2.199670708E0,-1.434675756E-1,-2.589720118E-1,-2.491368489E-1,3.869349010E-1
2.209723708E0,-2.348776826E-1,-3.071939993E-1,-2.239154689E-1,4.468487621E-1
2.219776708E0,-2.305896270E-1,-2.333243698E-1,-1.955623202E-1,3.819115849E-1
2.229830708E0,-1.864289694E-1,-3.119606495E-2,-1.725933608E-1,2.559637147E-1
2.239883708E0,-1.058325568E-1,1.283235794E-1,-1.423409633E-1,2.189256060E-1
2.249936708E0,-1.877584800E-2,1.370271599E-1,-5.266601756E-2,1.479955554E-1
2.259989708E0,1.225246033E-1,1.223968416E-1,3.807940722E-2,1.773226058E-1
2.270042708E0,2.880410059E-1,2.178777802E-1,1.199028580E-1,3.805457181E-1
2.280095708E0,4.047688258E-1,2.632077348E-1,1.635665023E-1,5.097745724E-1
2.290148708E0,3.905801184E-1,1.883598661E-1,2.092753565E-1,4.814856622E-1
2.300201708E0,3.245228076E-1,1.440929353E-2,2.405355947E-1,4.042029845E-1
2.310254708E0,1.508492468E-1,-8.620900869E-2,2.797272885E-1,3.292944645E-1
2.320308708E0,-2.078626692E-2,-2.109266102E-2,3.183142340E-1,3.196887874E-1
2.330361708E0,-1.845517208E-1,1.879207402E-1,3.180392687E-1,4.129437234E-1
2.340414708E0,-2.853632735E-1,5.130002028E-1,2.616441894E-1,6.426967308E-1
2.350467708E0,-3.942714657E-1,8.135254526E-1,1.514230049E-1,9.166256472E-1
2.360520708E0,-5.397304568E-1,9.091543257E-1,-2.378530383E-2,1.057561485E0
2.370573708E0,-6.930714945E-1,7.418099374E-1,-1.908590392E-1,1.032984633E0
2.380626708E0,-9.262809666E-1,5.066659141E-1,-3.414235997E-1,1.109629151E0
2.390679708E0,-1.099096302E0,3.434385502E-1,-4.792459810E-1,1.247252753E0
2.400733708E0,-1.209035359E0,2.664248729E-1,-6.049796824E-1,1.377951061E0
2.410786708E0,-1.232247489E0,2.714657575E-1,-7.018027762E-1,1.443833324E0
2.420839708E0,-1.173241482E0,3.276025361E-1,-6.969634744E-1,1.403416218E0
2.430892708E0,-1.037182475E0,4.120567954E-1,-6.314511971E-1,1.282290491E0
2.440945708E0,-8.174154590E-1,4.408894157E-1,-4.856100174E-1,1.048030819E0
2.450998708E0,-5.853043865E-1,3.081131816E-1,-3.526245991E-1,7.495725885E-1
2.461051708E0,-3.567737103E-1,1.342836463E-1,-1.909208735E-1,4.263453506E-1
2.471104708E0,-1.493947519E-1,-2.296318531E-2,-2.358649850E-2,1.529785040E-1
2.481157708E0,1.743858978E-2,-1.115409011E-1,1.401238453E-1,1.799449056E-1
2.491211708E0,1.625568344E-1,-1.737932825E-1,2.865544244E-1,3.724812312E-1
2.501264708E0,2.554709914E-1,-1.698043120E-1,4.565342259E-1,5.500203917E-1
2.511317708E0,2.727379654E-1,-1.496390194E-1,5.868885434E-1,6.642409173E-1
2.521370708E0,1.899522091E-1,-6.420476675E-2,7.047708229E-1,7.327387028E-1
2.531423708E0,7.176799402E-2,2.345025837E-2,7.897636107E-1,7.933644310E-1
