"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.355376750E0,-4.020613457E-1,-1.985712681E0,-2.557934654E-1,2.042091691E0
2.365424750E0,-3.160707305E-1,-1.932754888E0,-3.815746754E-1,1.995254720E0
2.375471750E0,-2.969110128E-1,-1.723013654E0,-6.134220386E-1,1.852894708E0
2.385519750E0,-4.021397349E-1,-1.634723037E0,-8.197492290E-1,1.872438136E0
2.395566750E0,-4.407554414E-1,-1.554557126E0,-8.568088818E-1,1.828943596E0
2.405614750E0,-4.545927311E-1,-1.536143220E0,-8.744113398E-1,1.825098829E0
2.415661750E0,-4.055914559E-1,-1.448063833E0,-8.331428611E-1,1.719162680E0
2.425709750E0,-2.618714450E-1,-1.319547588E0,-8.495197427E-1,1.591058228E0
2.435757750E0,-1.064032816E-1,-1.179973966E0,-9.726276058E-1,1.532861598E0
2.445804750E0,1.136021816E-1,-1.029362116E0,-9.923526031E-1,1.434313603E0
2.455852750E0,1.982543417E-1,-8.620161197E-1,-1.056534566E0,1.377912139E0
2.465899750E0,2.350954549E-1,-6.307495312E-1,-1.172149222E0,1.351683633E0
2.475947750E0,2.028362199E-1,-4.145751911E-1,-1.247466037E0,1.330107753E0
2.485994750E0,2.272320827E-1,-2.878265592E-1,-1.091719601E0,1.151664116E0
2.496042750E0,2.426078479E-1,-2.304893473E-1,-9.014880413E-1,9.615948189E-1
2.506089750E0,2.702766348E-1,-2.013428776E-1,-8.023502541E-1,8.702610780E-1
2.516137750E0,2.400519568E-1,-2.250337489E-1,-7.486108339E-1,8.177305857E-1
2.526184750E0,1.092914863E-1,-2.406769511E-1,-7.272182107E-1,7.737676329E-1
2.536232750E0,-1.655908084E-1,-3.138336588E-1,-7.928052592E-1,8.685919988E-1
2.546280750E0,-4.578686336E-1,-4.380580477E-1,-1.142281644E0,1.306271753E0
2.556327750E0,-4.053189026E-1,-4.403235514E-1,-1.398858052E0,1.521503234E0
2.566375750E0,-2.613060924E-1,-2.964402388E-1,-1.442316898E0,1.495471739E0
2.576422750E0,-1.871022031E-1,-1.204681376E-1,-1.533613569E0,1.549674283E0
2.586470750E0,-2.188380392E-1,5.935493991E-2,-1.496937493E0,1.514012865E0
2.596517750E0,-4.281155884E-1,1.529840653E-1,-1.345046711E0,1.419802006E0
2.606565750E0,-6.687225191E-1,1.264170948E-1,-1.162290816E0,1.346881966E0
2.616612750E0,-9.594789720E-1,4.831700474E-2,-9.396107179E-1,1.343801597E0
2.626660750E0,-1.281606468E0,-4.118193984E-2,-6.331242317E-1,1.430055028E0
2.636708750E0,-1.551476374E0,-7.329514056E-2,-2.242132384E-1,1.569306437E0
2.646755750E0,-1.421949145E0,-1.733769608E-1,7.728323400E-2,1.434563223E0
2.656803750E0,-1.004655730E0,-1.633149259E-1,4.299662322E-1,1.104932514E0
2.666850750E0,-6.564070404E-1,1.403249896E-1,9.008384156E-1,1.123419404E0
2.676898750E0,-6.310279318E-1,2.504960342E-1,1.111733451E0,1.302649523E0
2.686945750E0,-7.364459941E-1,1.192729667E-1,1.047936235E0,1.286370513E0
2.696993750E0,-9.537910198E-1,4.698720172E-2,9.329565865E-1,1.335040486E0
2.707040750E0,-1.126875254E0,2.673653975E-2,8.437017632E-1,1.407975620E0
2.717088750E0,-1.176975879E0,-1.725060180E-2,8.216408032E-1,1.435501102E0
2.727135750E0,-1.138676836E0,-1.030926246E-1,1.001939698E0,1.520228991E0
2.737183750E0,-9.660877144E-1,-1.887658091E-1,1.217819484E0,1.565899837E0
2.747231750E0,-6.510937487E-1,-1.725698257E-1,1.408929296E0,1.561661031E0
2.757278750E0,-2.869017855E-1,-6.563207209E-2,1.532737071E0,1.560738009E0
2.767326750E0,7.275705054E-2,3.279337808E-2,1.568874618E0,1.570903103E0
2.777373750E0,2.831489877E-1,9.717312276E-2,1.461038513E0,1.491391800E0
2.787421750E0,4.200222745E-1,1.364465314E-1,1.258890327E0,1.334106901E0
2.797468750E0,4.087969726E-1,1.254970354E-1,9.575072908E-1,1.048658516E0
2.807516750E0,4.442724685E-1,7.913636282E-2,6.951228440E-1,8.287559101E-1
2.817563750E0,5.697109221E-1,1.310035045E-1,5.608093768E-1,8.100861745E-1
2.827611750E0,6.611166803E-1,8.426787928E-2,4.038344407E-1,7.792679872E-1
2.837659750E0,7.953418545E-1,2.122685462E-2,1.721888065E-1,8.140443661E-1
2.847706750E0,9.335035935E-1,-3.158914402E-2,3.144807994E-2,9.345671805E-1
2.857754750E0,1.043620259E0,-5.883161411E-2,-7.772703767E-2,1.048163106E0
2.867801750E0,1.213821962E0,-7.424838290E-2,-2.109359658E-1,1.234248986E0
2.877849750E0,1.348156553E0,-1.112837698E-1,-3.019660038E-1,1.386035221E0
2.887896750E0,1.483509655E0,-1.217252889E-1,-3.695890528E-1,1.533692932E0
2.897944750E0,1.566896943E0,-1.125887221E-1,-4.891330379E-1,1.645324704E0
2.907991750E0,1.643755816E0,-9.869880751E-2,-6.536672544E-1,1.771709772E0
2.918039750E0,1.682315133E0,-1.068154737E-1,-7.599363059E-1,1.849080026E0
2.928086750E0,1.731354123E0,-1.879571392E-1,-8.242305350E-1,1.926725450E0
2.938134750E0,1.774038212E0,-2.783932462E-1,-8.443841332E-1,1.984363612E0
2.948182750E0,1.778390441E0,-3.384235395E-1,-8.952490622E-1,2.019572711E0
2.958229750E0,1.768449736E0,-3.681605780E-1,-9.039906496E-1,2.019939547E0
2.968277750E0,1.806163546E0,-3.313498704E-1,-9.473951161E-1,2.066295477E0
2.978324750E0,1.816636055E0,-2.433500057E-1,-1.051153373E0,2.112891194E0
2.988372750E0,1.663469996E0,-1.122652249E-1,-1.346750590E0,2.143238917E0
2.998419750E0,1.506524734E0,-5.280328095E-3,-1.699373361E0,2.271016177E0
3.008467750E0,1.293354547E0,1.005691856E-1,-1.977262870E0,2.364835851E0
3.018514750E0,1.107998834E0,2.203874052E-1,-2.155094824E0,2.433241814E0
3.028561625E0,1.104393733E0,3.837942785E-1,-2.095585957E0,2.399679993E0
3.038609625E0,1.037491500E0,4.173722067E-1,-1.609306945E0,1.959708400E0
3.048656625E0,1.017408507E0,2.357720143E-1,-5.894525474E-1,1.199234263E0
3.058704625E0,9.075168130E-1,-1.086430210E-1,6.195581067E-1,1.104193063E0
3.068751625E0,6.877611995E-1,-4.898084644E-1,1.547667936E0,1.763009881E0
3.078799625E0,2.759070101E-1,-8.200827395E-1,2.229041637E0,2.391084900E0
3.088846625E0,-2.108162440E-1,-1.018428846E0,2.433196587E0,2.646145581E0
3.098894625E0,-7.169611712E-1,-1.042418583E0,2.173986593E0,2.515330502E0
3.108941625E0,-1.147597787E0,-9.102973833E-1,1.685789695E0,2.233273136E0
3.118989625E0,-1.373415940E0,-6.567792888E-1,1.141277093E0,1.902667543E0
3.129037625E0,-1.537551668E0,-3.772321676E-1,5.980695891E-1,1.692352349E0
3.139084625E0,-1.698505050E0,-9.742952317E-2,1.525579494E-1,1.708123486E0
